fecha_prediccion,fecha_objetivo,precio_hoy,retorno_predicho,precio_predicho,precio_real,error_COP,error_pct,acierto_direccion
2026-08-03,2026-08-04,1164764.420414172,0.0060319863493014,1171790.2634982625,1213075.3288261592,41285.06532789674,3.4033389639410534,True
2026-08-04,2026-08-05,1213075.3288261592,0.0039167127320751,1217826.596411539,1249754.7461639645,31928.149752425496,2.554753230617986,True
2026-08-05,2026-08-06,1249754.7461639645,-0.0021026073784171,1247127.002613468,1239516.90968059,-7610.092932878062,-0.6139563626315594,True
2026-08-06,2026-08-07,1239516.90968059,-0.0027025067475802,1236167.1068684384,1258611.3733601198,22444.266491681337,1.783256290761285,False
2026-08-07,2026-08-10,1256232.4218440428,-0.0052723625966875,1249609.1090103665,1270388.061649792,20778.952639425406,1.6356382169115145,False
2026-08-10,2026-08-11,1262506.3951104134,0.0063145091176038,1270478.5032533712,1258789.812079981,-11688.691173390253,-0.9285657590504535,False
2026-08-11,2026-08-12,1252899.7332992554,-0.0034180252425483,1248617.2903844565,1269537.631562598,20920.341178141534,1.6478708986666222,False
2026-08-13,2026-08-14,1243235.112395838,0.0032170295719961,1247234.6365173594,1254159.3528058603,6924.716288500931,0.5521400668111792,True
2026-08-14,2026-08-17,1258045.6518672854,-0.0070339739521887,1249196.5915213863,1269203.9637324214,20007.37221103511,1.5763717087833757,False
2026-08-17,2026-08-18,1269913.5712153316,0.0027887080330257,1273454.9893926282,1248649.132971436,-24805.856421192177,-1.9866154363284718,False
2026-08-20,2026-08-21,1271904.000013769,0.0012155772645257,1273450.097598845,1301662.6523056626,28212.554706817726,2.1674244595436636,True
2026-08-21,2026-08-24,1285795.1283234358,-0.0016610462192605,1283659.3631867906,1303640.3588921877,19980.9957053971,1.5327076650477918,False
2026-08-24,2026-08-25,1303640.3588921877,0.006313782056323635,1311871.2599980605,,,,
